start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
367,Car,6,Engine,25.29,351
368,Car,53,Engine,20,442
369,Car,4,Engine,23.04,385
370,Car,50,Engine,23.28,379
371,Car,17,Engine,16.69,533
371,Car,12,Engine,21.53,413
372,Car,40,Engine,22.58,392
373,Car,54,Engine,20.41,431
374,Car,50,Engine,20,442
375,Car,50,Engine,20.92,422
376,Car,49,Engine,16.9,528
377,Car,33,Engine,26.17,337
378,Car,33,Engine,22.25,398
379,Car,33,Engine,21.61,409
380,Car,33,Engine,23.81,365
381,Car,6,Engine,47.23,189
382,Car,37,Engine,22.05,401
383,Car,54,Engine,17.22,514
384,Car,24,Engine,10.92,802
385,Car,4,Engine,46.24,195
386,Car,50,Engine,22.86,388
387,Car,41,Engine,23,386
388,Car,50,Engine,20.64,430
389,Car,4,Engine,30.42,300
390,Car,40,Engine,21.29,416.5
391,Car,60,Engine,23.66,373
392,Car,14,Engine,16.53,538
393,Car,33,Engine,29.67,298
394,Car,50,Engine,24.47,362
395,Car,47,Engine,18.27,489
396,Car,33,Engine,26.13,343
397,Car,29,Engine,30.29,293
398,Car,11,Engine,17.46,503
399,Car,54,Engine,16.99,520
400,Car,33,Engine,24,370
401,Car,11,Engine,16.04,554.5
402,Car,20,Engine,17.72,503
403,Car,54,Engine,13.93,617
404,Car,5,Engine,49,183
405,Car,58,Engine,14.81,599
406,Car,50,Engine,21.36,421
407,Car,54,Engine,19.34,459
408,Car,6,Engine,28.91,308.5
409,Car,22,Engine,19.24,459
410,Car,50,Engine,24.52,360
411,Car,54,Engine,17,525
412,Car,33,Engine,26.65,332
413,Car,42,Engine,23.32,377
414,Car,38,Engine,26.95,329
415,Car,50,Engine,18.48,477
416,Car,50,Engine,22,462
416,Car,19,Engine,15.82,561.5
416,Car,16,Engine,15.81,561.5
417,Car,14,Engine,26.19,338
418,Car,33,Engine,22.36,396
419,Car,53,Engine,19.45,454
420,Car,51,Engine,15.95,552
421,Car,53,Engine,17.04,517
422,Car,33,Engine,24.94,354
423,Car,33,Engine,26.42,332
424,Car,50,Engine,28.22,312
425,Car,33,Engine,24.52,361
426,Car,31,Engine,30.74,289
426,Car,30,Engine,30.06,296
427,Car,17,Engine,19.06,466
427,Car,12,Engine,22.78,389
428,Car,53,Engine,19.45,454
429,Car,33,Engine,28.8,307
430,Car,39,Engine,27,329
431,Car,50,Engine,24.28,418
431,Car,17,Engine,18.24,489.5
431,Car,12,Engine,21.27,417
432,Car,28,Engine,18.45,481
433,Car,4,Engine,31,287
434,Car,48,Engine,19,466
435,Car,22,Engine,18.65,473
436,Car,51,Engine,18.74,471
437,Car,10,Engine,24.52,361
438,Car,11,Engine,16.06,554.5
439,Car,6,Engine,30,293
440,Car,50,Engine,18.92,468
441,Car,50,Engine,19,464.5
442,Car,54,Engine,17.14,520
442,Car,58,Engine,14.66,601
443,Car,18,Engine,17.94,495
444,Car,50,Engine,19,466
445,Car,4,Engine,28.52,314
446,Car,6,Engine,25.56,347
447,Car,47,Engine,17.83,498
448,Car,52,Engine,15.75,560
449,Car,33,Engine,25.31,366
450,Car,14,Engine,22.76,392
451,Car,33,Engine,26,348
452,Car,50,Engine,26.06,337
453,Car,33,Engine,25.95,345
453,Car,35,Engine,31.8,278
453,Car,6,Engine,42.61,207
454,Car,28,Engine,18.71,474
455,Car,14,Engine,19.16,464.5
455,Car,9,Engine,20.06,441
456,Car,33,Engine,24.7,361
457,Car,33,Engine,28.06,317
458,Car,31,Engine,28.35,313
459,Car,33,Engine,25.31,349
460,Car,54,Engine,16.23,546
461,Car,4,Engine,26,342
462,Car,33,Engine,24.46,368
462,Car,12,Engine,21.31,417
463,Car,4,Engine,43.63,201
464,Car,54,Engine,17.65,504
465,Car,36,Engine,33.95,264
466,Car,50,Engine,24.34,363
467,Car,4,Engine,37.31,237
468,Car,50,Engine,22.64,388
469,Car,26,Engine,15.05,592
470,Car,31,Engine,29.89,297
470,Car,30,Engine,30.06,296
471,Car,53,Engine,16.91,523
472,Car,33,Engine,23.05,384.5
473,Car,4,Engine,51.75,170
474,Car,5,Engine,36.28,248
475,Car,50,Engine,22,405
476,Car,50,Engine,21.23,419
477,Car,33,Engine,24.47,361
478,Car,33,Engine,24,370
478,Car,12,Engine,21.2,419
479,Car,33,Engine,23.55,374
480,Car,4,Engine,27.11,328
481,Car,34,Engine,20.2,439
482,Car,14,Engine,25.07,352
483,Car,6,Engine,42.06,209
484,Car,33,Engine,24.65,361
485,Car,61,Engine,20.58,433
486,Car,2,Engine,25,354
486,Car,6,Engine,26.6,331
487,Car,4,Engine,35.03,253
488,Car,14,Engine,21.27,419
489,Car,7,Engine,51.98,170
490,Car,28,Engine,18.45,481
491,Car,39,Engine,26,342
492,Car,33,Engine,21.62,410
493,Car,58,Engine,14.53,610
494,Car,11,Engine,17.04,517
495,Car,50,Engine,17.05,521
495,Car,18,Engine,14.88,595
496,Car,50,Engine,21.93,405
496,Car,33,Engine,26.58,333
497,Car,33,Engine,29.1,305.5
498,Car,33,Engine,24.93,352
499,Car,6,Engine,34.71,256
500,Car,35,Engine,27,330
501,Car,50,Engine,22.86,388
502,Car,28,Engine,18.45,481
503,Car,50,Engine,23,388
504,Car,47,Engine,17.19,523
505,Car,4,Engine,29.4,302
505,Car,6,Engine,27.43,326
506,Car,2,Engine,24.87,358
507,Car,33,Engine,23.62,371.5
507,Car,26,Engine,15.68,566.5
507,Car,19,Engine,19.11,464.5
507,Car,12,Engine,20.83,428
508,Car,34,Engine,23,386
508,Car,22,Engine,17.87,497
509,Car,10,Engine,27.38,324
510,Car,61,Engine,19.13,462
511,Car,34,Engine,21.39,415.5
512,Car,33,Engine,28.08,313
513,Car,4,Engine,30.08,294
514,Car,15,Engine,20,444
515,Car,4,Engine,26.24,338
516,Car,50,Engine,20,442
517,Car,33,Engine,23,386
517,Car,12,Engine,20.52,433
518,Car,14,Engine,22.93,385
519,Car,45,Engine,19.53,460
519,Car,22,Engine,18.35,488
520,Car,61,Engine,22.27,402
521,Car,6,Engine,28.81,305
522,Car,53,Engine,18.21,485
523,Car,50,Engine,18.44,474
524,Car,50,Engine,25.89,340
525,Car,54,Engine,15.63,565
526,Car,14,Engine,23,387
527,Car,2,Engine,23.46,380
528,Car,50,Engine,22,462
528,Car,19,Engine,15.82,561.5
529,Car,34,Engine,24.09,371
529,Car,33,Engine,24.13,369
530,Car,33,Engine,24.83,355
531,Car,33,Engine,26.65,332
532,Car,33,Engine,28.21,312
533,Car,50,Engine,19.36,470
534,Car,50,Engine,16.92,519
535,Car,43,Engine,18.38,483
535,Car,41,Engine,22.96,385
536,Car,4,Engine,28.35,311
537,Car,50,Engine,24.98,351
538,Car,48,Engine,20,441
539,Car,29,Engine,33.29,271
540,Car,33,Engine,22.77,391
540,Car,12,Engine,20.46,435
541,Car,54,Engine,16.91,522
542,Car,50,Engine,26.05,390
542,Car,17,Engine,18.75,478.5
542,Car,12,Engine,21.8,407
543,Car,61,Engine,19.79,449
544,Car,33,Engine,22,404
544,Car,18,Engine,14.26,623
544,Car,12,Engine,20.25,441
545,Car,48,Engine,20.31,436
545,Car,33,Engine,26.95,330
546,Car,48,Engine,20.62,431
547,Car,33,Engine,26.01,340
548,Car,44,Engine,19.13,461
549,Car,50,Engine,22,404
550,Car,35,Engine,34.51,257.5
551,Car,16,Engine,15.52,585
552,Car,22,Engine,18.04,489
553,Car,53,Engine,18.21,485
554,Car,48,Engine,18.16,490
555,Car,33,Engine,23.32,380
556,Car,33,Engine,25.77,343
557,Car,33,Engine,25.6,347
557,Car,29,Engine,28,318
558,Car,40,Engine,21.29,416.5
559,Car,53,Engine,14.99,586
560,Car,4,Engine,29.83,296
561,Car,33,Engine,29.82,298
562,Car,50,Engine,23.83,427
562,Car,41,Engine,18.09,490.5
562,Car,19,Engine,16.42,542
562,Car,16,Engine,16.61,536.38
563,Car,22,Engine,17.48,508
564,Car,18,Engine,17.94,495
564,Car,17,Engine,19.06,466
564,Car,12,Engine,22.78,389
565,Car,35,Engine,27,327
566,Car,33,Engine,25.79,345
567,Car,27,Engine,14.09,631
568,Car,33,Engine,24.01,373
569,Car,14,Engine,18.31,483
570,Car,45,Engine,19.49,459
570,Car,22,Engine,18.59,481
571,Car,28,Engine,17.47,509
572,Car,50,Engine,22,462
572,Car,19,Engine,15.82,561.5
572,Car,16,Engine,15.81,561.5
573,Car,14,Engine,24,370
574,Car,6,Engine,28.77,309.5
575,Car,18,Engine,17.43,509
575,Car,17,Engine,18.51,480
575,Car,12,Engine,22.78,389
576,Car,50,Engine,22.1,399
577,Car,35,Engine,30,294
578,Car,33,Engine,23.9,371
579,Car,54,Engine,19.27,462
580,Car,12,Engine,21.41,415
581,Car,38,Engine,26.03,347
582,Car,33,Engine,27.74,318
583,Car,23,Engine,14.99,596
584,Car,50,Engine,15.36,577
585,Car,61,Engine,20.91,427
586,Car,50,Engine,17.81,495
587,Car,49,Engine,17.11,521
588,Car,54,Engine,17.66,505
589,Car,17,Engine,17.04,520
590,Car,2,Engine,23.78,374
591,Car,33,Engine,27.88,316
592,Car,6,Engine,32.48,275.5
593,Car,50,Engine,24.96,352
594,Car,33,Engine,28.68,309
