id,mfr_name,car_division,carline
354,Ford Motor Company,Ford,TRANSIT CONNECT VAN FFV
355,General Motors,Chevrolet,MALIBU
356,Jaguar Land Rover L,Jaguar,F-TYPE P450 RWD Convertible
357,General Motors,Chevrolet,TRAVERSE AWD
358,Volkswagen Group of,Audi,RS 7
359,Nissan,NISSAN,ROGUE SPORT
360,Volkswagen Group of,Bugatti,Chiron Super Sport
361,General Motors,Cadillac,XT4 AWD
362,Porsche,Porsche,911 Carrera 4S
363,BMW,BMW,Z4 sDrive30i
364,Nissan,NISSAN,PATHFINDER 4WD
365,FCA US LLC,Jeep,Cherokee FWD
366,FCA US LLC,Chrysler,Pacifica
367,Ford Motor Company,Ford,ECOSPORT AWD
368,BMW,BMW,M850i xDrive Coupe
369,Hyundai,HYUNDAI MOTOR COMPANY,Santa Cruz FWD
370,BMW,BMW,X3 M40i
371,FCA US LLC,Jeep,Grand Cherokee 4X4
372,MAZDA,MAZDA,CX-9 4WD
373,aston martin,Aston Martin Lagonda Ltd,DB11 V8
374,Porsche,Porsche,911 Targa 4
375,Volkswagen Group of,Audi,SQ5 Sportback
376,Porsche,Porsche,911 Turbo S Cabriolet
377,Volkswagen Group of,Audi,TTS Coupe quattro
378,Mercedes-Benz,Mercedes-Benz,GLE 350
379,Mercedes-Benz,Mercedes-Benz,AMG GLA 45 4MATIC
380,Jaguar Land Rover L,Jaguar,F-PACE
381,Hyundai,HYUNDAI MOTOR COMPANY,Sonata Hybrid
382,Subaru,Subaru,ASCENT LIMITED/TOURING/ONYX AWD
383,Volkswagen Group of,Audi,RS 6 Avant
384,Volkswagen Group of,Lamborghini,Aventador Coupe
385,Toyota,TOYOTA,CAMRY HYBRID SE/XLE/XSE
386,BMW,BMW,840i xDrive Coupe
387,General Motors,Cadillac,CT4 V AWD
388,Mercedes-Benz,Mercedes-Benz,AMG GLC 43 4MATIC
389,Nissan,NISSAN,ALTIMA AWD
390,Porsche,Porsche,718 Boxster S
391,Volvo,"Volvo Cars of North America, LLC",XC60 B6 AWD
392,Ford Motor Company,Ford,TRANSIT T150 WAGON 2WD FFV
393,BMW,BMW,330i Sedan
394,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (coupe)
395,Ford Motor Company,Ford,EXPEDITION 4WD
396,BMW,Mini,JCW COUNTRYMAN ALL4
397,Ford Motor Company,Ford,ESCAPE FWD
398,Toyota,TOYOTA,4RUNNER 2WD
399,Volkswagen Group of,Audi,S8
400,Honda,Acura,RDX FWD
401,Porsche,Porsche,911 GT3
402,Nissan,NISSAN,TITAN 2WD
403,Volkswagen Group of,Lamborghini,Urus
404,Kia,KIA,Niro
405,Mercedes-Benz,Mercedes-Benz,Maybach S 680 4Matic
406,Honda,Acura,TLX Type-S Perf Tire
407,Mercedes-Benz,Mercedes-Benz,S 580 4MATIC
408,Subaru,Subaru,IMPREZA 4-Door
409,Toyota,LEXUS,RC F
410,BMW,BMW,840i Convertible
411,Porsche,Porsche,Panamera Turbo S / Exec / ST
412,Volkswagen Group of,Audi,A5 Coupe quattro
413,Volkswagen Group of,Audi,TT RS Coupe
414,FCA US LLC,Jeep,Renegade 4x2
415,BMW,BMW,M4 Competition M xDrive Coupe
416,General Motors,Chevrolet,SUBURBAN 4WD
417,Toyota,TOYOTA,CAMRY
418,Mercedes-Benz,Mercedes-Benz,AMG GLB 35 4MATIC
419,BMW,BMW,M850i xDrive Convertible
420,Ferrari,"Ferrari North America, Inc.",F8 Spider
421,BMW,BMW,X7 M50i
422,Volkswagen Group of,Audi,Q5 S line quattro
423,BMW,BMW,530i xDrive Sedan
424,BMW,BMW,M440i Coupe
425,Volvo,"Volvo Cars of North America, LLC",XC90 T5
426,General Motors,Chevrolet,TRAILBLAZER FWD
427,FCA US LLC,Chrysler,300
428,BMW,BMW,750i xDrive Sedan
429,Volkswagen Group of,Audi,A5 Sportback quattro
430,General Motors,Buick,ENCORE FWD
431,FCA US LLC,RAM,1500 4X4
432,Jaguar Land Rover L,Jaguar,F-TYPE P450 AWD R-Dynamic Coupe
433,Nissan,NISSAN,ALTIMA SV/SL
434,Porsche,Porsche,Macan GTS
435,Toyota,LEXUS,LC 500
436,Ferrari,"Ferrari North America, Inc.",Portofino M
437,Ford Motor Company,Ford,EXPLORER HEV AWD
438,Porsche,Porsche,911 GT3 Touring
439,Toyota,TOYOTA,COROLLA CROSS AWD
440,Mercedes-Benz,Mercedes-Benz,AMG GLC 43 4MATIC (coupe)
441,Porsche,Porsche,911 Carrera 4 GTS
442,Volkswagen Group of,Bentley,Flying Spur
443,FCA US LLC,Dodge,Charger Widebody
444,Porsche,Porsche,Cayenne
445,Hyundai,HYUNDAI MOTOR COMPANY,Tucson FWD
446,Ford Motor Company,Ford,TRANSIT CONNECT WAGON LWB FFV
447,Ford Motor Company,Lincoln,NAVIGATOR 4WD
448,Maserati,MASERATI,QUATTROPORTE TROFEO
449,Nissan,INFINITI,QX50 AWD
450,Nissan,NISSAN,MURANO AWD
451,Nissan,INFINITI,QX50
452,BMW,BMW,M440i xDrive Coupe
453,Honda,Honda,ACCORD SPORT/TOURING
454,Jaguar Land Rover L,Land Rover,Range Rover Sport
455,Toyota,TOYOTA,TACOMA 4WD
456,Ford Motor Company,Lincoln,CORSAIR FWD
457,Jaguar Land Rover L,Jaguar,XF P250
458,General Motors,Chevrolet,TRAILBLAZER AWD
459,Volkswagen Group of,Audi,Q5 quattro
460,Mercedes-Benz,Mercedes-Benz,AMG SL 63 4MATIC+
461,Nissan,MITSUBISHI MOTORS,Outlander 4WD
462,General Motors,Chevrolet,BLAZER AWD
463,Toyota,TOYOTA,AVALON HYBRID XLE
464,McLaren Automotive ,McLaren,GT
465,Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Hybrid Blue
466,Volkswagen Group of,Audi,S4
467,Ford Motor Company,Ford,MAVERICK HEV FWD
468,BMW,BMW,X6 xDrive40i
469,FCA US LLC,Dodge,Charger SRT Widebody
470,General Motors,Buick,ENCORE GX FWD
471,BMW,BMW,M5 Competition Sedan
472,Porsche,Porsche,718 Cayman
473,Toyota,TOYOTA,CAMRY HYBRID LE
474,Hyundai,HYUNDAI MOTOR COMPANY,Accent
475,Nissan,INFINITI,Q60 RED SPORT
476,General Motors,Cadillac,CT5 V AWD
477,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (convertible)
478,General Motors,Cadillac,XT5 FWD
479,Mercedes-Benz,Mercedes-Benz,GLC 300 4MATIC
480,Nissan,MITSUBISHI MOTORS,Outlander 2WD
481,Ford Motor Company,Ford,EXPLORER TIMBERLINE AWD
482,Toyota,LEXUS,ES 350 F SPORT
483,Toyota,LEXUS,UX 250h
484,Mercedes-Benz,Mercedes-Benz,GLB 250 4MATIC
485,Jaguar Land Rover L,Land Rover,Range Rover Sport P360 MHEV
486,Mitsubishi Motors Co,Mitsubishi Motors Corporation,Outlander Sport 2WD
487,Toyota,TOYOTA,HIGHLANDER HYBRID AWD LTD/PLAT
488,Honda,Honda,PILOT AWD TrailSport
489,Honda,Honda,INSIGHT
490,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible
491,General Motors,Chevrolet,TRAX AWD
492,Mercedes-Benz,Mercedes-Benz,Metris (US Postal Long)
493,Volkswagen Group of,Bentley,Continental GT Speed
494,Toyota,TOYOTA,4RUNNER 4WD
495,FCA US LLC,Jeep,Grand Wagoneer 4x2
496,General Motors,Cadillac,CT5
497,BMW,Mini,COOPER S HARDTOP 2 DOOR
498,BMW,BMW,X3 sDrive30i
499,Kia,KIA,Forte FE
500,General Motors,GMC,TERRAIN FWD
501,BMW,BMW,840i xDrive Convertible
502,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe
503,Nissan,INFINITI,Q50
504,Ford Motor Company,Ford,EXPEDITION TIMBERLINE 4X4
505,Subaru,Subaru,CROSSTREK AWD
506,FCA US LLC,Jeep,Compass 4X4
507,General Motors,Chevrolet,CAMARO
508,Ford Motor Company,Ford,MUSTANG CONVERTIBLE
509,Ford Motor Company,Ford,EXPLORER HEV RWD
510,Jaguar Land Rover L,Land Rover,Defender 110 MHEV
511,Ford Motor Company,Ford,RANGER 4WD
512,BMW,BMW,530i Sedan
513,Toyota,TOYOTA,RAV4
514,Nissan,NISSAN,FRONTIER 2WD
515,Subaru,Subaru,FORESTER WILDERNESS AWD
516,Porsche,Porsche,911 Carrera 4
517,General Motors,Cadillac,XT6 AWD
518,Toyota,LEXUS,RC 350
519,Hyundai,GENESIS,G90 AWD
520,Jaguar Land Rover L,Jaguar,F-PACE P340 MHEV
521,Toyota,TOYOTA,C-HR
522,BMW,BMW,X5 M50i
523,Maserati,MASERATI,MC20
524,BMW,BMW,M440i Convertible
525,McLaren Automotive ,McLaren,765LT Spider
526,Nissan,NISSAN,MURANO FWD
527,Subaru,Subaru,BRZ
528,General Motors,Cadillac,ESCALADE 4WD
529,Ford Motor Company,Lincoln,CORSAIR AWD
530,Volvo,"Volvo Cars of North America, LLC",V60CC T5 AWD
531,Volkswagen Group of,Audi,A4 S line quattro
532,BMW,BMW,430i Coupe
533,Porsche,Porsche,911 Carrera 4 GTS Cabriolet
534,BMW,BMW,X4 M Competition
535,General Motors,Cadillac,CT4 V
536,Toyota,LEXUS,NX 250
537,BMW,TOYOTA,Supra 3.0
538,Porsche,Porsche,Panamera 4
539,Nissan,NISSAN,ROGUE FWD
540,Volkswagen Group of,Volkswagen,Atlas Cross Sport
541,Volkswagen Group of,Audi,SQ8
542,FCA US LLC,RAM,1500 4X2
543,Jaguar Land Rover L,Land Rover,Range Rover P360 MHEV
544,FCA US LLC,Jeep,Wrangler 4dr 4X4
545,FCA US LLC,ALFA ROMEO,Giulia
546,Volkswagen Group of,Audi,RS 5 Sportback
547,Volvo,"Volvo Cars of North America, LLC",XC40 T4
548,Toyota,TOYOTA,TUNDRA 4WD PRO
549,Nissan,INFINITI,Q60
550,Volkswagen Group of,Volkswagen,Jetta
551,General Motors,GMC,SIERRA 4WD CAB CHASSIS
552,Toyota,LEXUS,LC 500 CONVERTIBLE
553,BMW,BMW,X6 M50i
554,Porsche,Porsche,Cayenne S Coup?
555,Volvo,"Volvo Cars of North America, LLC",XC90 T5 AWD
556,BMW,BMW,X1 xDrive28i
557,Ford Motor Company,Ford,ESCAPE AWD
558,Porsche,Porsche,718 Cayman S
559,BMW,BMW,X5 M Competition
560,Toyota,TOYOTA,RAV4 AWD LE
561,Volkswagen Group of,Volkswagen,GLI
562,General Motors,GMC,SIERRA 4WD
563,Ford Motor Company,Ford,MUSTANG MACH 1
564,FCA US LLC,Dodge,Charger
565,Mitsubishi Motors Co,Mitsubishi Motors Corporation,ECLIPSE CROSS ES 2WD
566,Volkswagen Group of,Audi,A5 Cabriolet quattro
567,Ford Motor Company,Ford,SHELBY GT500 MUSTANG
568,Hyundai,HYUNDAI MOTOR COMPANY,Elantra N
569,Toyota,TOYOTA,TACOMA 4WD D-CAB MT TRD-ORP/PRO
570,Hyundai,GENESIS,G90 RWD
571,Jaguar Land Rover L,Jaguar,F-PACE SVR
572,General Motors,GMC,YUKON XL 4WD
573,Nissan,NISSAN,MAXIMA
574,Subaru,Subaru,IMPREZA 5-Door
575,FCA US LLC,Dodge,Challenger
576,Volkswagen Group of,Audi,A8 L quattro
577,Honda,Honda,CR-V FWD
578,Honda,Acura,TLX AWD A-SPEC
579,Volkswagen Group of,Bentley,Continental GT
580,FCA US LLC,Dodge,Charger AWD
581,FCA US LLC,Jeep,Renegade 4x4
582,Volkswagen Group of,Volkswagen,Arteon
583,Volkswagen Group of,Lamborghini,Huracan Coupe
584,Ford Motor Company,Ford,BRONCO RAPTOR 4WD
585,Jaguar Land Rover L,Land Rover,New Range Rover P360 MHEV
586,Maserati,MASERATI,LEVANTE GT
587,Porsche,Porsche,911 Turbo Cabriolet
588,McLaren Automotive ,McLaren,720S Coupe
589,FCA US LLC,Jeep,Wagoneer 4x4
590,FCA US LLC,RAM,Promaster City
591,Volvo,"Volvo Cars of North America, LLC",S60 B5 AWD
592,Toyota,TOYOTA,COROLLA APEX
593,BMW,BMW,540i xDrive Sedan
594,Mercedes-Benz,Mercedes-Benz,CLA 250
595,General Motors,GMC,ACADIA AWD
596,Mercedes-Benz,Mercedes-Benz,C 300 (Coupe)
597,Volvo,"Volvo Cars of North America, LLC",XC60 B5
598,Jaguar Land Rover L,Land Rover,Defender 90
599,Kia,KIA,Sorento Hybrid AWD
600,BMW,Mini,COOPER S CONVERTIBLE
601,General Motors,Chevrolet,TRAX FWD
602,Toyota,LEXUS,RX 450h AWD
603,Volkswagen Group of,Volkswagen,Arteon 4Motion
604,FCA US LLC,Jeep,Gladiator EcoDiesel 4X4
605,FCA US LLC,Jeep,Grand Cherokee L 4X2
606,Volkswagen Group of,Lamborghini,Aventador Roadster
607,BMW,BMW,X3 xDrive30i
608,Nissan,NISSAN,ARMADA 2WD
609,aston martin,Aston Martin Lagonda Ltd,DBX V8
610,General Motors,Chevrolet,TRAVERSE FWD
611,General Motors,Cadillac,XT5 LIMO AWD
612,Kia,KIA,Soul
613,Subaru,Subaru,OUTBACK WILDERNESS AWD
614,Nissan,NISSAN,ROGUE AWD
615,Porsche,Porsche,911 Targa 4S
616,Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost Extended
617,Nissan,INFINITI,QX80 2WD
618,Toyota,LEXUS,LS 500 AWD
619,Mercedes-Benz,Mercedes-Benz,S 500 4MATIC
620,Maserati,MASERATI,GHIBLI MODENA AWD
621,BMW,BMW,M8 Competition Gran Coupe
622,Volkswagen Group of,Audi,R8 Coupe
623,BMW,BMW,M8 Competition Convertible
624,BMW,BMW,M235i xDrive Gran Coupe
625,Ford Motor Company,Ford,TRANSIT CONNECT USPS
626,Porsche,Porsche,718 Cayman GT4
627,Toyota,TOYOTA,COROLLA HATCHBACK MANUAL
628,BMW,BMW,M3 Competition M xDrive Sedan
629,Porsche,Porsche,Panamera
630,Nissan,NISSAN,ALTIMA SR
