start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
288,vt_car,6,vt_engine,38.17,234
288,vt_car,35,vt_engine,29,305
289,vt_car,25,vt_engine,18.83,470
290,vt_car,33,vt_engine,28.32,313
291,vt_car,54,vt_engine,18.88,473
292,vt_car,61,vt_engine,19.13,462
293,vt_car,23,vt_engine,14.99,596
294,vt_car,34,vt_engine,23.46,378
294,vt_car,50,vt_engine,20.54,432.5
295,vt_car,14,vt_engine,22.15,407
296,vt_car,14,vt_engine,22.7,388
297,vt_car,54,vt_engine,17,520
298,vt_car,50,vt_engine,22.07,402
299,vt_car,56,vt_engine,14.12,624
300,vt_car,33,vt_engine,24.85,356
301,vt_car,33,vt_engine,20.44,437
302,vt_car,13,vt_engine,20.69,432
303,vt_car,14,vt_engine,22.72,391
304,vt_car,54,vt_engine,16.65,531
305,vt_car,35,vt_engine,25.34,347
306,vt_car,61,vt_engine,20.61,435
307,vt_car,28,vt_engine,15.95,563
307,vt_car,33,vt_engine,18.05,492
308,vt_car,2,vt_engine,25.7,350
308,vt_car,33,vt_engine,22.95,392
309,vt_car,4,vt_engine,44.08,201
310,vt_car,6,vt_engine,29.38,302
311,vt_car,12,vt_engine,20.95,424
311,vt_car,33,vt_engine,23,386
312,vt_car,48,vt_engine,19,465
313,vt_car,60,vt_engine,25.88,341
314,vt_car,4,vt_engine,26.49,334
314,vt_car,40,vt_engine,25.17,353
315,vt_car,4,vt_engine,31,286
316,vt_car,4,vt_engine,20.58,431
316,vt_car,12,vt_engine,19,465
316,vt_car,32,vt_engine,22.36,455
317,vt_car,50,vt_engine,22.34,396.5
318,vt_car,14,vt_engine,22.61,391
319,vt_car,50,vt_engine,20.42,433
320,vt_car,50,vt_engine,16.92,519
321,vt_car,50,vt_engine,22.86,388
322,vt_car,8,vt_engine,32.21,274
323,vt_car,54,vt_engine,17.69,498
324,vt_car,33,vt_engine,25.23,352
325,vt_car,12,vt_engine,20.57,434
325,vt_car,33,vt_engine,22.82,388
326,vt_car,29,vt_engine,26,342
326,vt_car,33,vt_engine,23,387
327,vt_car,4,vt_engine,39,225
328,vt_car,14,vt_engine,22,405
329,vt_car,53,vt_engine,20.03,439
330,vt_car,50,vt_engine,24.5,360
331,vt_car,10,vt_engine,20,444
331,vt_car,22,vt_engine,18.6,481
332,vt_car,6,vt_engine,35.37,251
333,vt_car,50,vt_engine,23,442
334,vt_car,16,vt_engine,16.74,530.5
334,vt_car,19,vt_engine,16.33,544.5
334,vt_car,50,vt_engine,23,442
335,vt_car,53,vt_engine,14.99,586
336,vt_car,50,vt_engine,24.72,411
337,vt_car,47,vt_engine,19.22,462
338,vt_car,34,vt_engine,18.99,468
339,vt_car,33,vt_engine,27.42,324
340,vt_car,50,vt_engine,19.51,454.5
341,vt_car,33,vt_engine,25.33,359
342,vt_car,5,vt_engine,59.24,151
343,vt_car,54,vt_engine,14.17,624
344,vt_car,24,vt_engine,13.28,665
345,vt_car,14,vt_engine,21.77,407
346,vt_car,16,vt_engine,16.6,535.75
346,vt_car,19,vt_engine,16.28,546.33
346,vt_car,41,vt_engine,18.22,487.5
346,vt_car,50,vt_engine,23.41,435
347,vt_car,33,vt_engine,22.84,388
348,vt_car,48,vt_engine,18,494
349,vt_car,12,vt_engine,22.25,401
350,vt_car,4,vt_engine,30.05,295
350,vt_car,37,vt_engine,26.92,330
351,vt_car,4,vt_engine,23.49,382
351,vt_car,40,vt_engine,22.24,403
352,vt_car,50,vt_engine,19.49,474
353,vt_car,4,vt_engine,32.02,278
354,vt_car,6,vt_engine,25.05,355
355,vt_car,35,vt_engine,32.14,275
355,vt_car,33,vt_engine,25.89,342
356,vt_car,28,vt_engine,19.38,460
357,vt_car,12,vt_engine,20.24,448
358,vt_car,54,vt_engine,17.44,507
359,vt_car,6,vt_engine,28,318
360,vt_car,59,vt_engine,9.02,979
361,vt_car,33,vt_engine,24,364
362,vt_car,50,vt_engine,20.13,442.5
363,vt_car,33,vt_engine,27.91,317
364,vt_car,14,vt_engine,23.08,384
365,vt_car,2,vt_engine,25.22,352
365,vt_car,13,vt_engine,22.98,387
365,vt_car,33,vt_engine,25.79,345
366,vt_car,12,vt_engine,22.25,401
367,vt_car,6,vt_engine,25.29,351
368,vt_car,53,vt_engine,20,442
369,vt_car,4,vt_engine,23.04,385
370,vt_car,50,vt_engine,23.28,379
371,vt_car,12,vt_engine,21.53,413
371,vt_car,17,vt_engine,16.69,533
372,vt_car,40,vt_engine,22.58,392
373,vt_car,54,vt_engine,20.41,431
374,vt_car,50,vt_engine,20,442
375,vt_car,50,vt_engine,20.92,422
376,vt_car,49,vt_engine,16.9,528
377,vt_car,33,vt_engine,26.17,337
378,vt_car,33,vt_engine,22.25,398
379,vt_car,33,vt_engine,21.61,409
380,vt_car,33,vt_engine,23.81,365
381,vt_car,6,vt_engine,47.23,189
382,vt_car,37,vt_engine,22.05,401
383,vt_car,54,vt_engine,17.22,514
384,vt_car,24,vt_engine,10.92,802
385,vt_car,4,vt_engine,46.24,195
386,vt_car,50,vt_engine,22.86,388
387,vt_car,41,vt_engine,23,386
388,vt_car,50,vt_engine,20.64,430
389,vt_car,4,vt_engine,30.42,300
390,vt_car,40,vt_engine,21.29,416.5
391,vt_car,60,vt_engine,23.66,373
392,vt_car,14,vt_engine,16.53,538
393,vt_car,33,vt_engine,29.67,298
394,vt_car,50,vt_engine,24.47,362
395,vt_car,47,vt_engine,18.27,489
396,vt_car,33,vt_engine,26.13,343
397,vt_car,29,vt_engine,30.29,293
398,vt_car,11,vt_engine,17.46,503
399,vt_car,54,vt_engine,16.99,520
400,vt_car,33,vt_engine,24,370
401,vt_car,11,vt_engine,16.04,554.5
402,vt_car,20,vt_engine,17.72,503
403,vt_car,54,vt_engine,13.93,617
404,vt_car,5,vt_engine,49,183
405,vt_car,58,vt_engine,14.81,599
406,vt_car,50,vt_engine,21.36,421
407,vt_car,54,vt_engine,19.34,459
408,vt_car,6,vt_engine,28.91,308.5
409,vt_car,22,vt_engine,19.24,459
410,vt_car,50,vt_engine,24.52,360
411,vt_car,54,vt_engine,17,525
412,vt_car,33,vt_engine,26.65,332
413,vt_car,42,vt_engine,23.32,377
414,vt_car,38,vt_engine,26.95,329
415,vt_car,50,vt_engine,18.48,477
416,vt_car,16,vt_engine,15.81,561.5
416,vt_car,19,vt_engine,15.82,561.5
416,vt_car,50,vt_engine,22,462
417,vt_car,14,vt_engine,26.19,338
418,vt_car,33,vt_engine,22.36,396
419,vt_car,53,vt_engine,19.45,454
420,vt_car,51,vt_engine,15.95,552
421,vt_car,53,vt_engine,17.04,517
422,vt_car,33,vt_engine,24.94,354
423,vt_car,33,vt_engine,26.42,332
424,vt_car,50,vt_engine,28.22,312
425,vt_car,33,vt_engine,24.52,361
426,vt_car,30,vt_engine,30.06,296
426,vt_car,31,vt_engine,30.74,289
427,vt_car,12,vt_engine,22.78,389
427,vt_car,17,vt_engine,19.06,466
428,vt_car,53,vt_engine,19.45,454
429,vt_car,33,vt_engine,28.8,307
430,vt_car,39,vt_engine,27,329
431,vt_car,12,vt_engine,21.27,417
431,vt_car,17,vt_engine,18.24,489.5
431,vt_car,50,vt_engine,24.28,418
432,vt_car,28,vt_engine,18.45,481
433,vt_car,4,vt_engine,31,287
434,vt_car,48,vt_engine,19,466
435,vt_car,22,vt_engine,18.65,473
436,vt_car,51,vt_engine,18.74,471
437,vt_car,10,vt_engine,24.52,361
438,vt_car,11,vt_engine,16.06,554.5
439,vt_car,6,vt_engine,30,293
440,vt_car,50,vt_engine,18.92,468
441,vt_car,50,vt_engine,19,464.5
442,vt_car,58,vt_engine,14.66,601
442,vt_car,54,vt_engine,17.14,520
443,vt_car,18,vt_engine,17.94,495
444,vt_car,50,vt_engine,19,466
445,vt_car,4,vt_engine,28.52,314
446,vt_car,6,vt_engine,25.56,347
447,vt_car,47,vt_engine,17.83,498
448,vt_car,52,vt_engine,15.75,560
449,vt_car,33,vt_engine,25.31,366
450,vt_car,14,vt_engine,22.76,392
451,vt_car,33,vt_engine,26,348
452,vt_car,50,vt_engine,26.06,337
453,vt_car,6,vt_engine,42.61,207
453,vt_car,35,vt_engine,31.8,278
453,vt_car,33,vt_engine,25.95,345
454,vt_car,28,vt_engine,18.71,474
455,vt_car,9,vt_engine,20.06,441
455,vt_car,14,vt_engine,19.16,464.5
456,vt_car,33,vt_engine,24.7,361
457,vt_car,33,vt_engine,28.06,317
458,vt_car,31,vt_engine,28.35,313
459,vt_car,33,vt_engine,25.31,349
460,vt_car,54,vt_engine,16.23,546
461,vt_car,4,vt_engine,26,342
462,vt_car,12,vt_engine,21.31,417
462,vt_car,33,vt_engine,24.46,368
